,USGS-01434000,USGS-01531000,USGS-04235500,USGS-04236500
1928-07-31,8874.782890398721,1689.6662361446402,178.25454929664002,0.0
1928-08-31,5034.452155591681,1048.9975820006403,192.44128943923204,0.0
1928-09-30,3176.8670191564806,251.08547873126403,114.65491185100802,0.0
1928-10-31,1511.8364395468802,242.42052367411205,102.84678682214401,0.0
1928-11-30,1204.3154855577602,585.4791201361921,124.70739239116801,0.0
1928-12-31,2130.8427060480003,1251.1798666675202,136.20403210752002,0.0
1929-01-31,2907.5738080665606,1094.4461207808001,140.93294548838404,0.0
1929-02-28,2658.66872652288,1359.7749733478402,152.14641673881601,0.0
1929-03-31,13019.236557603843,7956.467555420161,717.2940410219521,0.0
1929-04-30,14967.435603133443,10635.524411489281,908.8291913702401,0.0
1929-05-31,8225.194429578241,5293.268133442561,744.2516789775361,0.0
1929-06-30,2193.98927394816,903.1375052052481,162.25553097216002,0.0
1929-07-31,1455.0611621299201,570.1880229765121,116.26897210675202,0.0
1929-08-31,978.2054655206401,217.64328290611203,148.57849406822402,0.0
1929-09-30,971.3527886453761,175.56444887040004,140.42324224972802,0.0
1929-10-31,2748.4331302195205,1396.6718244572162,176.35732057497603,0.0
1929-11-30,4273.57848766464,1616.1557023918083,199.09574838835204,0.0
1929-12-31,5908.593209886721,1779.2041050685443,226.25160427008004,0.0
1930-01-31,5533.678161008641,4116.9863260108805,468.9836132567041,0.0
1930-02-28,4636.317292508161,2062.31593729536,236.58725327616003,0.0
1930-03-31,8509.212400896002,6531.847003376641,565.8838622945281,0.0
1930-04-30,5119.402695367681,3200.6531702937605,349.11840163276804,0.0
1930-05-31,2623.27266828288,1804.9158017740804,169.27810892697602,0.0
1930-06-30,3502.5107549644804,1662.0289938708484,389.13010586726404,0.0
1930-07-31,1565.9216165376001,600.2605140572161,257.598353447424,0.0
1930-08-31,1103.4225611504642,145.54859148288003,147.55908759091201,0.0
1930-09-30,1117.0429643612163,118.93075568640002,115.44778355558402,0.0
1930-10-31,750.9910884664321,109.01985937920001,75.46439616768001,0.0
1930-11-30,893.7363121367041,97.26836804352001,51.08359125196801,0.0
1930-12-31,1386.6759776102401,161.37770872780803,62.77844889446401,0.0
1931-01-31,993.9213153792001,182.10564043315202,65.38359878092801,0.0
1931-02-28,1405.0819278950403,459.44083595520004,82.45865727590402,0.0
1931-03-31,6721.853044008961,3394.8501042216967,242.87359321958405,0.0
1931-04-30,10405.591617162241,4409.2161828403205,567.8943584025601,0.0
1931-05-31,8247.84790685184,4505.776629719041,372.5647506109441,0.0
